00501	182
00544	182
01001	75
01002	75
01003	75
01004	75
01005	86
01007	75
01008	75
01009	75
01010	75
01011	75
01012	75
01013	75
01014	75
01020	75
01021	75
01022	75
01026	75
01027	75
01028	75
01029	75
01030	75
01031	86
01032	75
01033	75
01034	75
01035	75
01036	75
01037	86
01038	75
01039	75
01040	75
01041	75
01050	75
01053	75
01054	61
01056	75
01057	75
01059	75
01060	75
01061	75
01062	75
01063	75
01066	75
01068	86
01069	75
01070	75
01071	75
01072	61
01073	75
01074	86
01075	75
01077	75
01079	75
01080	75
01081	75
01082	75
01083	86
01084	75
01085	75
01086	75
01088	75
01089	75
01090	75
01092	86
01093	61
01094	86
01095	75
01096	75
01097	75
01098	75
01101	75
01102	75
01103	75
01104	75
01105	75
01106	75
01107	75
01108	75
01109	75
01111	75
01115	75
01116	75
01118	75
01119	75
01128	75
01129	75
01138	75
01139	75
01144	75
01151	75
01152	75
01199	75
01201	75
01202	75
01203	75
01220	75
01222	75
01223	75
01224	75
01225	75
01226	75
01227	75
01229	75
01230	75
01235	75
01236	75
01237	75
01238	75
01240	75
01242	75
01243	75
01244	75
01245	75
01247	75
01252	75
01253	75
01254	75
01255	75
01256	75
01257	75
01258	75
01259	75
01260	75
01262	75
01263	75
01264	75
01266	75
01267	75
01270	75
01301	61
01302	61
01330	61
01331	99
01337	61
01338	61
01339	61
01340	61
01341	61
01342	61
01343	75
01344	61
01346	61
01347	61
01349	61
01350	61
01351	61
01354	61
01355	61
01360	61
01364	55
01366	99
01367	61
01368	99
01370	61
01373	61
01375	61
01376	61
01378	61
01379	61
01380	61
01420	99
01430	99
01431	99
01432	99
01434	99
01436	99
01438	99
01440	99
01441	86
01450	99
01451	99
01452	99
01453	99
01460	99
01462	99
01463	99
01464	99
01467	99
01468	99
01469	99
01470	99
01471	99
01472	99
01473	99
01474	99
01475	99
01477	99
01501	86
01503	99
01504	98
01505	86
01506	86
01507	86
01508	86
01509	86
01510	99
01515	86
01516	86
01517	99
